"Timestamp","Cluster Name","Number of CPUs","CPU Type","CPU Clock","Rocks Version","Organization","Location","Member of Rocks Grid","Notes","FLOPs"
"2003-03-19","Onyx","18","Pentium 4","2.20","2.3.0","Rocks","San Diego, CA","yes","N/A","79.2"
"2003-03-07","Mica","18","Pentium 4","2.20","Other","Rocks","San Diego","yes","N/A","79.2"
"2003-03-07","Fossil","5","Pentium 2","0.30","Other","Rocks","San Diego","yes","N/A","1.5"
"2003-03-07","Buzz","6","Pentium 4","2.20","Other","Rocks","San Diego","yes","N/A","26.4"
"2003-06-25","Meteor","118","Pentium 3","0.93","2.3.2","Rocks","San Diego","yes","N/A","109.74"
"2003-03-13","keck1","64","Pentium 3","0.80","Other","NCMIR","National Center for Microscopy Imaging Research","yes","Hi Federico","51.2"
"2003-03-13","lc0","96","Athlon MP","1.53","Other","University of Virginia/ITC","Charlottesville, VA","no","N/A","293.76"
"2003-03-13","lc1","64","Pentium 4","2.40","Other","University of Virginia/ITC","Charlottesville, VA","no","N/A","307.2"
"2003-11-25","fhypn","14","Athlon MP","2.13","2.3.1","Batelle","Richland, WA","no","N/A","59.64"
"2003-03-13","wprocks0","28","Athlon MP","2.00","Other","Weather Predict, Inc.","Weather Predict, Inc., Raleigh, NC","no","N/A","112"
"2004-01-06","general","14","Pentium 4","2.40","Unspecified","Theory Group, Northwestern University","Northwestern University, Evanston, IL","no","N/A","67.2"
"2004-01-06","vague","4","Opteron","1.70","3.1.0","Theory Group, Northwestern University","Northwestern University, Evanston, IL","no","N/A","13.6"
"2003-08-18","Pluto","16","Athlon","0.60","Other","The Institute for Advanced Technology","Austin, TX","no","N/A","9.6"
"2003-05-01","The Extinction Machine","194","Athlon MP","1.73","2.2.1","Biological Sciences, University of South Carolina","Columbia, South Carolina","no","N/A","671.24"
"2003-03-19","Jupiter","44","Pentium 3","1.00","2.3.1","The Institute for Advanced Technology","Austin, TX","no","N/A","44"
"2003-03-14","atlas","256","Pentium 3","1.00","Other","Scripps Institution of Oceanography","Scripps Institution of Oceanography","yes","N/A","256"
"2003-03-14","compas","256","Pentium 3","1.00","Other","Scripps Institution of Oceanography","Scripps Institution of Oceanography","yes","N/A","256"
"2003-03-14","mermaid","18","Pentium 3","0.73","Other","Scripps Institution of Oceanography","Scripps Institution of Oceanography","yes","N/A","13.14"
"2003-03-14","BACCie","38","Pentium 4","2.20","Other","Government","DC/VA Metro","no","Dolphin Wulfkit Fabric 3D Interconnect. 2U formfactor.","167.2"
"2003-03-19","grieg","14","Athlon MP","2.20","2.3.1","Universidad de Sevilla","Sevilla (Spain)","no","N/A","61.6"
"2007-10-17","rocks1","176","EM64T","2.66","Unspecified","PNNL","Richland, WA","no","vancouver","936.32"
"2007-10-17","rocks2","72","EM64T","2.33","Unspecified","PNNL","Richland, WA","no","gnode1","335.52"
"2007-10-17","rocks3","52","EM64T","2.80","Unspecified","PNNL","Richland, WA","no","pleaides","291.2"
"2007-10-17","rocks4","32","Pentium 4","2.40","Unspecified","PNNL","Richland, WA","no","aeolus","153.6"
"2007-10-17","rocks5","8","EM64T","2.40","Unspecified","PNNL","Richland, WA","no","overlord","38.4"
"2007-10-17","rocks6","96","Pentium 4","2.33","Unspecified","PNNL","Richland, WA","no","presidio","447.36"
"2007-10-17","rocks9","212","Pentium 4","2.00","Unspecified","PNNL","Richland, WA","no","ransac","848"
